"Province","Car","Car passenger","Rail","Bus/Tram/Metro","Bicycle","Walk"
"Groningen",26.3942020467532,25.2231348019854,50.9189825890325,21.5532440171879,4.14760497582964,1.56142101894584
"Friesland",25.3630690220758,37.0133511976242,53.1168631035015,25.6545211197555,3.60790604202328,1.57300242981357
"Drenthe",25.4526683183633,38.8054038986369,71.251502237128,14.3769101350207,3.73596683235597,1.74592075171834
"Overijssel",23.3087618941552,24.8904616897683,63.0680835088468,9.61203369444375,3.84122666076609,1.64935540319514
"Flevoland",31.948425881298,26.2455932658899,38.0468906167927,15.2407280237462,3.39225407874679,3.49603313362669
"Gelderland",22.7157780186911,18.1589527338427,50.1706964985032,9.99775213469178,3.56488728767001,1.68697514739546
"Utrecht",26.0325422353783,23.7039916260779,42.3909069711677,11.2691005467701,3.98598136747682,1.4647615249899
"Noord-Holland",22.5695453237541,30.9296627344513,35.8082215386516,12.4733927412174,4.54664619689193,1.61805651943675
"Zuid-Holland",22.759265755602,16.7699078371369,41.6058860172405,11.3435380537994,4.39709725979106,1.79060335184185
"Zeeland",28.186804803704,18.642696811232,95.5113533160843,24.6272666657252,3.3052247145134,1.6667378083636
"Noord-Brabant",21.9108097978739,24.4975995057583,60.331709679702,14.2429560283333,4.35067742538756,1.71048137139934
"Limburg",17.7707752080972,15.4277238745322,43.5362770847005,15.0996288444355,4.39412244532465,1.61714597648597
