"woe_name","Total","Bicycle","Bus/Tram/Metro","Car","Car passenger","Rail","Walk"
"Groningen",34.355267,0.083783,0.324304,28.113086,2.144149,3.372185,0.00654
"Friesland",37.640318,0.057562,0.272482,31.358829,3.847529,1.948342,0.007083
"Drenthe",40.599225,0.047668,0.096986,34.884036,2.989226,2.460535,0.009683
"Overijssel",33.782057,0.066414,0.113986,27.341937,2.210019,3.899382,0.007692
"Flevoland",48.958132,0.035176,0.530897,38.948539,2.515583,6.614214,0.017923
"Gelderland",32.078094,0.056959,0.119617,27.195034,1.65109,2.722609,0.009169
"Utrecht",36.145579,0.059069,0.326689,27.665666,1.714947,6.195129,0.01315
"Noord-Holland",30.147404,0.073893,0.828233,20.391301,2.523381,5.935992,0.012011
"Zuid-Holland",31.368798,0.06077,0.582359,24.887835,1.560882,3.896946,0.013757
"Zeeland",38.731728,0.049434,0.410364,35.203922,1.309055,1.260123,0.008812
"Noord-Brabant",33.657528,0.058199,0.11239,28.612814,2.281304,2.456588,0.010682
"Limburg",26.107965,0.058894,0.296112,22.501238,1.058645,2.027859,0.016899
